Order_ID,Order_Date,Wave_Date,Ship_Date,Units_Ordered,Units_Invoiced,Channel,Avg_Price,Margin_Pct,Material,AFS PO Number
ORD000204,2025-07-13,2025-07-16,2025-07-18,356,356,Ecom,253.24,0.5,MAT00019,PO000291
ORD000205,2025-09-06,2025-09-07,2025-09-08,229,229,Ecom,128.54,0.5,MAT00021,PO000011
ORD000206,2025-09-22,2025-09-22,2025-09-24,323,323,Retail,103.92,0.4,MAT00011,PO000238
ORD000207,2025-09-09,2025-09-11,2025-09-14,320,320,Ecom,41.17,0.5,MAT00039,PO000376
ORD000208,2025-08-30,2025-08-31,2025-09-05,471,471,Ecom,261.61,0.5,MAT00047,PO000432
ORD000209,2025-06-22,2025-06-25,2025-06-29,402,402,Ecom,104.8,0.5,MAT00005,PO000414
ORD000210,2025-09-16,2025-09-19,2025-09-21,377,377,Ecom,238.43,0.5,MAT00069,PO000418
ORD000211,2025-07-03,2025-07-03,2025-07-08,282,282,Wholesale,58.86,0.2,MAT00046,PO000176
ORD000212,2025-07-16,2025-07-18,2025-07-19,574,574,Retail,332.09,0.4,MAT00021,PO000430
ORD000213,2025-09-18,2025-09-20,2025-09-25,98,97,Retail,52.5,0.4,MAT00095,PO000372
ORD000214,2025-07-13,2025-07-15,2025-07-20,405,405,Ecom,90.53,0.5,MAT00030,PO000052
ORD000215,2025-06-12,2025-06-14,2025-06-16,138,129,Retail,94,0.4,MAT00043,PO000089
ORD000216,2025-07-14,2025-07-16,2025-07-20,355,355,Wholesale,111.42,0.2,MAT00052,PO000112
ORD000217,2025-06-12,2025-06-12,2025-06-16,436,436,Retail,225.33,0.4,MAT00087,PO000098
ORD000218,2025-09-10,2025-09-12,2025-09-16,119,119,Wholesale,143.5,0.2,MAT00063,PO000123
ORD000219,2025-10-04,2025-10-06,2025-10-09,235,235,Wholesale,182.64,0.2,MAT00052,PO000510
ORD000220,2025-09-24,2025-09-25,2025-09-29,309,309,Wholesale,363.73,0.2,MAT00061,PO000391
ORD000221,2025-08-22,2025-08-25,2025-08-29,291,291,Wholesale,322.57,0.2,MAT00063,PO000108
ORD000222,2025-08-08,2025-08-10,2025-08-12,314,314,Ecom,288.04,0.5,MAT00101,PO000304
ORD000223,2025-09-11,2025-09-11,2025-09-14,437,437,Wholesale,291.5,0.2,MAT00050,PO000142
ORD000224,2025-09-25,2025-09-26,2025-10-01,446,446,Ecom,183.54,0.5,MAT00017,PO000187
ORD000225,2025-08-18,2025-08-20,2025-08-25,494,494,Retail,234.44,0.4,MAT00055,PO000290
ORD000226,2025-06-08,2025-06-09,2025-06-13,435,435,Retail,159.07,0.4,MAT00025,PO000168
ORD000227,2025-06-26,2025-06-28,2025-06-29,314,314,Wholesale,129.75,0.2,MAT00041,PO000463
ORD000228,2025-10-18,2025-10-21,2025-10-25,409,409,Wholesale,293.05,0.2,MAT00086,PO000509
ORD000229,2025-09-29,2025-10-01,2025-10-05,126,126,Retail,216.33,0.4,MAT00072,PO000034
ORD000230,2025-07-25,2025-07-27,2025-07-31,248,248,Retail,152.65,0.4,MAT00055,PO000290
ORD000231,2025-07-31,2025-07-31,2025-08-03,376,371,Ecom,372.58,0.5,MAT00035,PO000191
ORD000232,2025-07-28,2025-07-28,2025-07-30,240,240,Ecom,394.3,0.5,MAT00104,PO000402
ORD000233,2025-08-20,2025-08-21,2025-08-22,82,82,Retail,91.16,0.4,MAT00066,PO000235
ORD000234,2025-09-21,2025-09-21,2025-09-22,121,121,Retail,71.53,0.4,MAT00010,PO000332
ORD000235,2025-09-17,2025-09-17,2025-09-19,377,377,Ecom,162.68,0.5,MAT00090,PO000484
ORD000236,2025-09-17,2025-09-18,2025-09-20,465,465,Wholesale,174.85,0.2,MAT00041,PO000359
ORD000237,2025-10-15,2025-10-18,2025-10-20,96,96,Ecom,131.57,0.5,MAT00077,PO000035
ORD000238,2025-07-15,2025-07-16,2025-07-20,214,214,Wholesale,54.51,0.2,MAT00006,PO000214
ORD000239,2025-06-03,2025-06-05,2025-06-08,264,264,Wholesale,159.1,0.2,MAT00013,PO000221
ORD000240,2025-07-08,2025-07-10,2025-07-15,500,500,Retail,309.62,0.4,MAT00048,PO000314
ORD000241,2025-08-19,2025-08-22,2025-08-24,311,311,Retail,193.56,0.4,MAT00025,PO000082
ORD000242,2025-07-05,2025-07-07,2025-07-11,294,294,Retail,56.35,0.4,MAT00078,PO000007
ORD000243,2025-09-22,2025-09-24,2025-09-29,117,117,Wholesale,320.99,0.2,MAT00019,PO000501
ORD000244,2025-08-02,2025-08-03,2025-08-07,309,309,Ecom,96.62,0.5,MAT00010,PO000380
ORD000245,2025-07-07,2025-07-10,2025-07-14,325,325,Retail,268.13,0.4,MAT00050,PO000429
ORD000246,2025-09-02,2025-09-05,2025-09-06,594,594,Ecom,256.99,0.5,MAT00020,PO000428
ORD000247,2025-07-26,2025-07-29,2025-07-31,436,436,Ecom,166.57,0.5,MAT00092,PO000142
ORD000248,2025-08-26,2025-08-26,2025-08-29,589,588,Ecom,216.39,0.5,MAT00007,PO000063
ORD000249,2025-09-26,2025-09-27,2025-09-30,359,359,Retail,62.67,0.4,MAT00046,PO000314
ORD000250,2025-10-08,2025-10-09,2025-10-11,517,517,Retail,167.06,0.4,MAT00018,PO000475
ORD000251,2025-08-30,2025-08-31,2025-09-04,169,162,Wholesale,306.49,0.2,MAT00056,PO000386
