AFS PO Number,AFS Line,Plant,Division,Line,Product Group,Vendor Name,Material,PO_Create_Date,NDC_Date,Planned_Ship_Date,Actual_Ship_Date,Transit_Mode,Transit_Time_Days,Expected_Arrival_Date,Reason_Code,Units,Late
PO000032,3,2001,1,Outlet,RTW,Delta Footwear,MAT00037,2025-05-08,2025-07-07,2025-05-27,2025-06-17,Sea,48,2025-08-04,Factory_Delay,1369,Yes
PO000033,1,3001,2,Mainline,RTW,Falcon Garments,MAT00021,2025-05-26,2025-07-30,2025-06-15,2025-06-15,Sea,49,2025-08-03,Internal_Delay,710,Yes
PO000034,7,1001,2,Mainline,HBG,Alpha Apparel Ltd,MAT00026,2025-05-25,2025-09-21,2025-08-12,2025-08-13,Sea,45,2025-09-27,Uncontrollable,467,Yes
PO000035,3,1001,1,Mainline,ACC,Alpha Apparel Ltd,MAT00051,2025-05-24,2025-07-17,2025-06-03,2025-06-07,Sea,36,2025-07-13,Factory_Delay,1122,No
PO000036,7,1001,2,Mainline,APP,Alpha Apparel Ltd,MAT00063,2025-05-07,2025-06-06,2025-04-23,2025-05-08,Truck,7,2025-05-15,Material_Delay,478,No
PO000037,5,3001,2,Mainline,HBG,Falcon Garments,MAT00078,2025-05-02,2025-07-08,2025-05-21,2025-05-30,Air,5,2025-06-04,Factory_Delay,211,No
PO000038,4,1001,1,Mainline,SHO,Alpha Apparel Ltd,MAT00007,2025-05-29,2025-07-05,2025-05-16,2025-05-20,Sea,41,2025-06-30,Transport_Disruption,492,No
PO000039,7,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00067,2025-06-02,2025-07-09,2025-05-21,2025-05-25,Truck,10,2025-06-04,Internal_Delay,214,No
PO000040,6,2002,1,Mainline,SHO,EverGreen Fabrics,MAT00007,2025-05-10,2025-06-15,2025-04-26,2025-05-04,Sea,47,2025-06-20,Factory_Delay,964,Yes
PO000041,4,2002,1,Outlet,RTW,EverGreen Fabrics,MAT00020,2025-05-11,2025-06-11,2025-04-24,2025-05-03,Sea,48,2025-06-20,Transport_Disruption,954,Yes
PO000042,2,2002,1,Outlet,APP,EverGreen Fabrics,MAT00024,2025-05-17,2025-08-28,2025-07-16,2025-07-16,Sea,50,2025-09-04,Uncontrollable,770,Yes
PO000043,2,1003,1,Outlet,SHO,Crimson Stitch Co,MAT00109,2025-05-25,2025-09-04,2025-07-21,2025-07-22,Air,5,2025-07-27,Transport_Disruption,854,No
PO000044,3,3001,2,Mainline,APP,Falcon Garments,MAT00041,2025-06-03,2025-07-19,2025-06-03,2025-06-08,Truck,13,2025-06-21,Transport_Disruption,391,No
PO000045,5,1003,2,Outlet,SHO,Crimson Stitch Co,MAT00012,2025-05-07,2025-06-15,2025-04-26,2025-05-08,Sea,46,2025-06-23,Material_Delay,1436,Yes
PO000046,1,1003,1,Outlet,RTW,Crimson Stitch Co,MAT00021,2025-05-11,2025-07-19,2025-06-09,2025-06-09,Truck,13,2025-06-22,Material_Delay,793,No
PO000047,3,3001,1,Mainline,RTW,Falcon Garments,MAT00056,2025-06-02,2025-08-06,2025-06-20,2025-06-29,Air,6,2025-07-05,Factory_Delay,531,No
PO000048,1,1002,1,Mainline,HBG,BlueOcean Textiles,MAT00001,2025-05-25,2025-08-23,2025-07-14,2025-07-20,Sea,37,2025-08-26,Transport_Disruption,180,Yes
PO000049,2,2002,1,Outlet,SHO,EverGreen Fabrics,MAT00012,2025-05-19,2025-07-31,2025-06-21,2025-06-21,Sea,42,2025-08-02,Uncontrollable,388,Yes
PO000050,7,2002,2,Outlet,HBG,EverGreen Fabrics,MAT00082,2025-05-25,2025-07-05,2025-05-26,2025-06-04,Air,5,2025-06-09,Uncontrollable,1089,No
PO000051,7,1001,1,Mainline,SHO,Alpha Apparel Ltd,MAT00007,2025-05-14,2025-08-30,2025-07-15,2025-07-20,Sea,47,2025-09-05,Transport_Disruption,643,Yes
PO000052,7,3001,1,Mainline,ACC,Falcon Garments,MAT00106,2025-05-17,2025-06-29,2025-05-17,2025-05-24,Sea,36,2025-06-29,Factory_Delay,180,No
PO000053,5,1003,1,Outlet,APP,Crimson Stitch Co,MAT00039,2025-05-15,2025-06-17,2025-05-03,2025-05-18,Sea,48,2025-07-05,Material_Delay,360,Yes
PO000054,3,1002,2,Mainline,RTW,BlueOcean Textiles,MAT00013,2025-05-18,2025-07-18,2025-05-31,2025-06-09,Sea,47,2025-07-26,Factory_Delay,1007,Yes
PO000055,1,2002,1,Mainline,APP,EverGreen Fabrics,MAT00010,2025-05-30,2025-07-23,2025-06-09,2025-06-09,Truck,8,2025-06-17,Material_Delay,342,No
PO000056,1,1001,2,Mainline,HBG,Alpha Apparel Ltd,MAT00088,2025-05-04,2025-06-14,2025-05-05,2025-05-14,Truck,12,2025-05-26,Uncontrollable,856,No
PO000057,7,3001,1,Outlet,SHO,Falcon Garments,MAT00025,2025-05-07,2025-07-27,2025-06-10,2025-06-18,Sea,47,2025-08-04,Factory_Delay,1439,Yes
PO000058,2,1003,1,Mainline,HBG,Crimson Stitch Co,MAT00003,2025-05-06,2025-06-09,2025-04-24,2025-05-01,Sea,43,2025-06-13,Transport_Disruption,1172,Yes
PO000059,4,1002,1,Mainline,ACC,BlueOcean Textiles,MAT00050,2025-05-18,2025-08-17,2025-06-28,2025-07-03,Sea,49,2025-08-21,Factory_Delay,1162,Yes
PO000060,1,2001,1,Mainline,HBG,Delta Footwear,MAT00056,2025-05-03,2025-06-30,2025-05-19,2025-05-30,Truck,15,2025-06-14,Factory_Delay,89,No
PO000061,1,2002,2,Mainline,APP,EverGreen Fabrics,MAT00079,2025-05-08,2025-06-11,2025-05-01,2025-05-16,Sea,42,2025-06-27,Material_Delay,89,Yes
PO000062,3,2002,1,Outlet,ACC,EverGreen Fabrics,MAT00080,2025-05-28,2025-08-24,2025-07-15,2025-07-23,Sea,47,2025-09-08,Factory_Delay,1418,Yes
PO000063,5,1002,1,Mainline,APP,BlueOcean Textiles,MAT00007,2025-05-05,2025-07-18,2025-06-07,2025-06-13,Air,5,2025-06-18,Material_Delay,405,No
PO000064,2,3001,2,Mainline,SHO,Falcon Garments,MAT00096,2025-05-13,2025-07-27,2025-06-17,2025-07-05,Sea,49,2025-08-23,Uncontrollable,915,Yes
PO000065,4,2002,2,Mainline,SHO,EverGreen Fabrics,MAT00105,2025-06-01,2025-09-01,2025-07-17,2025-07-25,Sea,45,2025-09-08,Factory_Delay,241,Yes
PO000066,1,2001,1,Mainline,HBG,Delta Footwear,MAT00022,2025-05-26,2025-09-14,2025-07-27,2025-08-12,Sea,46,2025-09-27,Uncontrollable,812,Yes
PO000067,3,2001,2,Mainline,ACC,Delta Footwear,MAT00033,2025-05-06,2025-08-22,2025-07-05,2025-07-16,Sea,43,2025-08-28,Factory_Delay,88,Yes
PO000068,7,2002,1,Mainline,SHO,EverGreen Fabrics,MAT00047,2025-05-14,2025-09-04,2025-07-21,2025-07-28,Truck,14,2025-08-11,Factory_Delay,1038,No
PO000069,5,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00069,2025-05-03,2025-06-02,2025-04-22,2025-04-23,Sea,43,2025-06-05,Internal_Delay,841,Yes
PO000070,4,1002,2,Mainline,APP,BlueOcean Textiles,MAT00046,2025-05-25,2025-07-10,2025-05-25,2025-05-29,Sea,36,2025-07-04,Factory_Delay,248,No
PO000071,3,2002,1,Mainline,APP,EverGreen Fabrics,MAT00003,2025-05-20,2025-08-03,2025-06-22,2025-07-08,Sea,43,2025-08-20,Factory_Delay,1066,Yes
PO000072,4,3001,1,Mainline,ACC,Falcon Garments,MAT00064,2025-05-13,2025-08-31,2025-07-19,2025-08-07,Sea,36,2025-09-12,Material_Delay,1439,Yes
PO000073,7,3001,1,Mainline,HBG,Falcon Garments,MAT00102,2025-05-08,2025-06-17,2025-05-03,2025-05-07,Sea,46,2025-06-22,Transport_Disruption,722,Yes
PO000074,2,1002,1,Mainline,HBG,BlueOcean Textiles,MAT00105,2025-05-13,2025-07-11,2025-05-22,2025-05-26,Sea,41,2025-07-06,Internal_Delay,243,No
PO000075,6,1002,1,Outlet,SHO,BlueOcean Textiles,MAT00106,2025-05-11,2025-08-09,2025-06-22,2025-07-01,Sea,43,2025-08-13,Internal_Delay,1443,Yes
PO000076,4,1002,1,Outlet,ACC,BlueOcean Textiles,MAT00007,2025-05-11,2025-09-01,2025-07-16,2025-07-27,Truck,9,2025-08-05,Transport_Disruption,1200,No
PO000077,1,2001,2,Mainline,APP,Delta Footwear,MAT00087,2025-05-12,2025-06-23,2025-05-12,2025-05-12,Truck,13,2025-05-25,Internal_Delay,337,No
PO000078,3,2001,1,Outlet,RTW,Delta Footwear,MAT00096,2025-05-03,2025-06-29,2025-05-19,2025-05-25,Sea,40,2025-07-04,Material_Delay,1280,Yes
PO000079,1,2001,1,Outlet,SHO,Delta Footwear,MAT00061,2025-05-24,2025-07-12,2025-05-27,2025-05-27,Truck,10,2025-06-06,Material_Delay,627,No
PO000080,7,1002,2,Mainline,ACC,BlueOcean Textiles,MAT00058,2025-05-12,2025-06-13,2025-04-25,2025-05-09,Truck,9,2025-05-18,Transport_Disruption,843,No
PO000081,4,3001,1,Mainline,SHO,Falcon Garments,MAT00037,2025-05-05,2025-07-11,2025-05-30,2025-06-06,Sea,43,2025-07-19,Factory_Delay,1157,Yes
PO000082,2,3001,1,Mainline,APP,Falcon Garments,MAT00066,2025-05-05,2025-08-07,2025-06-25,2025-07-05,Sea,41,2025-08-15,Transport_Disruption,1376,Yes
PO000083,7,1003,2,Mainline,SHO,Crimson Stitch Co,MAT00093,2025-05-10,2025-08-23,2025-07-12,2025-07-25,Truck,12,2025-08-06,Material_Delay,1357,No
PO000084,1,1003,2,Mainline,RTW,Crimson Stitch Co,MAT00049,2025-05-28,2025-09-13,2025-07-30,2025-07-31,Sea,36,2025-09-05,Factory_Delay,383,No
PO000085,2,1001,1,Outlet,RTW,Alpha Apparel Ltd,MAT00001,2025-05-06,2025-08-02,2025-06-17,2025-07-03,Sea,36,2025-08-08,Factory_Delay,1289,Yes
PO000086,3,1003,1,Mainline,RTW,Crimson Stitch Co,MAT00057,2025-05-31,2025-08-24,2025-07-15,2025-07-29,Sea,38,2025-09-05,Material_Delay,200,Yes
PO000087,6,2002,1,Outlet,APP,EverGreen Fabrics,MAT00008,2025-05-21,2025-06-20,2025-05-07,2025-05-17,Sea,36,2025-06-22,Transport_Disruption,1266,Yes
PO000088,7,1002,1,Mainline,SHO,BlueOcean Textiles,MAT00017,2025-05-26,2025-07-02,2025-05-20,2025-05-23,Sea,43,2025-07-05,Internal_Delay,863,Yes
PO000089,4,1001,1,Outlet,RTW,Alpha Apparel Ltd,MAT00048,2025-05-05,2025-09-01,2025-07-14,2025-08-05,Truck,15,2025-08-20,Uncontrollable,1020,No
PO000090,4,1002,1,Mainline,ACC,BlueOcean Textiles,MAT00070,2025-06-03,2025-09-22,2025-08-11,2025-08-19,Truck,7,2025-08-26,Material_Delay,1417,No
PO000091,6,3001,1,Mainline,HBG,Falcon Garments,MAT00076,2025-05-07,2025-06-20,2025-05-05,2025-05-28,Sea,37,2025-07-04,Material_Delay,151,Yes
PO000092,2,1003,1,Mainline,SHO,Crimson Stitch Co,MAT00066,2025-05-09,2025-06-10,2025-04-25,2025-05-02,Sea,40,2025-06-11,Internal_Delay,678,Yes
PO000093,5,1002,1,Mainline,RTW,BlueOcean Textiles,MAT00079,2025-05-15,2025-07-26,2025-06-12,2025-06-15,Air,7,2025-06-22,Internal_Delay,838,No
PO000094,5,3001,1,Mainline,APP,Falcon Garments,MAT00052,2025-05-27,2025-07-24,2025-06-06,2025-06-13,Sea,48,2025-07-31,Transport_Disruption,51,Yes
PO000095,1,2002,1,Mainline,ACC,EverGreen Fabrics,MAT00007,2025-05-31,2025-09-11,2025-07-29,2025-08-04,Sea,44,2025-09-17,Material_Delay,1001,Yes
PO000096,4,2001,1,Outlet,HBG,Delta Footwear,MAT00044,2025-05-13,2025-07-03,2025-05-19,2025-05-30,Sea,44,2025-07-13,Material_Delay,570,Yes
PO000097,7,1002,1,Mainline,SHO,BlueOcean Textiles,MAT00072,2025-05-24,2025-09-10,2025-07-22,2025-07-26,Truck,13,2025-08-08,Factory_Delay,1275,No
PO000098,1,1002,2,Mainline,SHO,BlueOcean Textiles,MAT00069,2025-06-03,2025-08-04,2025-06-21,2025-07-06,Sea,39,2025-08-14,Material_Delay,468,Yes
PO000099,4,1003,1,Mainline,RTW,Crimson Stitch Co,MAT00057,2025-05-25,2025-06-25,2025-05-08,2025-05-11,Sea,43,2025-06-23,Transport_Disruption,508,No
PO000100,7,2001,2,Mainline,SHO,Delta Footwear,MAT00032,2025-06-02,2025-08-06,2025-06-19,2025-07-10,Sea,40,2025-08-19,Material_Delay,474,Yes
PO000101,7,2001,1,Outlet,APP,Delta Footwear,MAT00005,2025-05-27,2025-07-27,2025-06-11,2025-06-27,Sea,44,2025-08-10,Factory_Delay,1332,Yes
PO000102,6,3001,1,Mainline,HBG,Falcon Garments,MAT00035,2025-06-03,2025-09-27,2025-08-11,2025-08-23,Sea,38,2025-09-30,Factory_Delay,502,Yes
PO000103,5,2002,1,Mainline,SHO,EverGreen Fabrics,MAT00062,2025-05-30,2025-08-22,2025-07-03,2025-07-12,Sea,41,2025-08-22,Material_Delay,397,No
PO000104,3,3001,2,Outlet,APP,Falcon Garments,MAT00065,2025-05-30,2025-07-19,2025-06-02,2025-06-09,Sea,41,2025-07-20,Transport_Disruption,849,Yes
PO000105,1,2002,2,Outlet,SHO,EverGreen Fabrics,MAT00014,2025-06-02,2025-07-24,2025-06-05,2025-06-05,Sea,35,2025-07-10,Material_Delay,884,No
PO000106,4,3001,1,Mainline,ACC,Falcon Garments,MAT00022,2025-05-15,2025-09-07,2025-07-23,2025-07-25,Sea,35,2025-08-29,Material_Delay,91,No
PO000107,6,1002,1,Mainline,SHO,BlueOcean Textiles,MAT00030,2025-05-14,2025-06-18,2025-05-01,2025-05-03,Sea,36,2025-06-08,Internal_Delay,908,No
PO000108,2,1003,1,Outlet,SHO,Crimson Stitch Co,MAT00025,2025-05-02,2025-06-25,2025-05-11,2025-05-19,Sea,35,2025-06-23,Material_Delay,1183,No
PO000109,6,3001,1,Mainline,HBG,Falcon Garments,MAT00006,2025-05-25,2025-07-06,2025-05-21,2025-06-02,Sea,47,2025-07-19,Factory_Delay,1085,Yes
PO000110,4,2002,2,Outlet,RTW,EverGreen Fabrics,MAT00060,2025-05-06,2025-07-06,2025-05-27,2025-05-27,Sea,37,2025-07-03,Transport_Disruption,336,No
PO000111,3,2002,2,Mainline,SHO,EverGreen Fabrics,MAT00011,2025-05-31,2025-08-24,2025-07-13,2025-07-18,Sea,50,2025-09-06,Material_Delay,813,Yes
PO000112,1,2001,1,Mainline,RTW,Delta Footwear,MAT00103,2025-05-29,2025-08-18,2025-07-02,2025-07-17,Sea,49,2025-09-04,Material_Delay,817,Yes
PO000113,5,1003,1,Mainline,RTW,Crimson Stitch Co,MAT00086,2025-05-05,2025-07-28,2025-06-09,2025-06-23,Sea,41,2025-08-03,Factory_Delay,1496,Yes
PO000114,5,1001,1,Outlet,RTW,Alpha Apparel Ltd,MAT00085,2025-05-18,2025-07-31,2025-06-14,2025-06-21,Sea,45,2025-08-05,Material_Delay,752,Yes
PO000115,5,2001,1,Mainline,APP,Delta Footwear,MAT00034,2025-05-18,2025-08-07,2025-06-23,2025-07-04,Air,5,2025-07-09,Material_Delay,621,No
PO000116,5,1001,2,Mainline,APP,Alpha Apparel Ltd,MAT00104,2025-05-21,2025-07-17,2025-06-07,2025-06-12,Sea,40,2025-07-22,Material_Delay,249,Yes
PO000117,1,1001,1,Mainline,ACC,Alpha Apparel Ltd,MAT00069,2025-06-01,2025-08-13,2025-06-24,2025-07-08,Truck,9,2025-07-17,Material_Delay,713,No
PO000118,1,2002,1,Mainline,APP,EverGreen Fabrics,MAT00011,2025-05-15,2025-09-04,2025-07-22,2025-07-29,Sea,44,2025-09-11,Internal_Delay,1334,Yes
PO000119,5,3001,2,Mainline,SHO,Falcon Garments,MAT00038,2025-06-01,2025-09-19,2025-08-07,2025-08-07,Sea,35,2025-09-11,Internal_Delay,1455,No
PO000120,4,3001,1,Outlet,SHO,Falcon Garments,MAT00010,2025-05-21,2025-07-25,2025-06-15,2025-07-12,Sea,39,2025-08-20,Uncontrollable,209,Yes
PO000121,7,2001,1,Mainline,HBG,Delta Footwear,MAT00040,2025-05-18,2025-08-10,2025-06-29,2025-06-29,Sea,40,2025-08-08,Material_Delay,463,No
PO000122,4,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00021,2025-06-01,2025-08-08,2025-06-19,2025-06-19,Sea,39,2025-07-28,Factory_Delay,1470,No
PO000123,6,2002,2,Outlet,APP,EverGreen Fabrics,MAT00096,2025-05-11,2025-09-03,2025-07-20,2025-07-31,Truck,8,2025-08-08,Uncontrollable,1480,No
PO000124,4,2002,1,Outlet,HBG,EverGreen Fabrics,MAT00056,2025-05-03,2025-08-03,2025-06-19,2025-06-24,Sea,41,2025-08-04,Transport_Disruption,157,Yes
PO000125,7,1001,2,Mainline,SHO,Alpha Apparel Ltd,MAT00058,2025-05-16,2025-08-25,2025-07-06,2025-07-10,Sea,50,2025-08-29,Transport_Disruption,923,Yes
PO000126,2,1003,1,Outlet,ACC,Crimson Stitch Co,MAT00027,2025-05-02,2025-07-11,2025-05-30,2025-06-07,Sea,44,2025-07-21,Transport_Disruption,363,Yes
PO000127,6,2001,2,Mainline,SHO,Delta Footwear,MAT00053,2025-05-20,2025-09-01,2025-07-15,2025-07-19,Sea,49,2025-09-06,Internal_Delay,1454,Yes
PO000128,4,2001,2,Mainline,SHO,Delta Footwear,MAT00037,2025-05-21,2025-08-12,2025-06-30,2025-06-30,Sea,48,2025-08-17,Factory_Delay,237,Yes
PO000129,1,2002,1,Mainline,APP,EverGreen Fabrics,MAT00093,2025-05-14,2025-06-15,2025-05-03,2025-05-14,Sea,42,2025-06-25,Factory_Delay,211,Yes
PO000130,6,1002,1,Mainline,ACC,BlueOcean Textiles,MAT00049,2025-05-19,2025-07-09,2025-05-27,2025-05-31,Truck,12,2025-06-12,Material_Delay,1190,No
PO000131,7,2001,1,Mainline,APP,Delta Footwear,MAT00094,2025-06-02,2025-07-19,2025-06-02,2025-06-13,Truck,12,2025-06-25,Factory_Delay,210,No
PO000132,1,3001,1,Outlet,ACC,Falcon Garments,MAT00015,2025-05-06,2025-07-21,2025-06-11,2025-06-19,Air,8,2025-06-27,Transport_Disruption,549,No
PO000133,5,1002,1,Mainline,HBG,BlueOcean Textiles,MAT00094,2025-05-06,2025-08-24,2025-07-15,2025-07-28,Truck,11,2025-08-08,Factory_Delay,98,No
PO000134,5,1002,2,Outlet,SHO,BlueOcean Textiles,MAT00004,2025-05-01,2025-06-23,2025-05-12,2025-05-19,Sea,48,2025-07-06,Factory_Delay,1437,Yes
PO000135,4,1001,2,Mainline,APP,Alpha Apparel Ltd,MAT00085,2025-05-30,2025-07-22,2025-06-11,2025-06-14,Air,5,2025-06-19,Factory_Delay,1473,No
PO000136,6,1002,2,Mainline,HBG,BlueOcean Textiles,MAT00045,2025-05-20,2025-09-08,2025-07-29,2025-07-31,Sea,36,2025-09-05,Transport_Disruption,1143,No
PO000137,7,1002,2,Mainline,RTW,BlueOcean Textiles,MAT00042,2025-05-26,2025-07-08,2025-05-27,2025-05-31,Sea,37,2025-07-07,Material_Delay,902,No
PO000138,4,1001,1,Mainline,RTW,Alpha Apparel Ltd,MAT00068,2025-05-07,2025-08-30,2025-07-17,2025-07-30,Air,8,2025-08-07,Material_Delay,1427,No
PO000139,4,1002,1,Outlet,HBG,BlueOcean Textiles,MAT00017,2025-06-03,2025-09-10,2025-07-27,2025-07-27,Sea,43,2025-09-08,Internal_Delay,1139,No
PO000140,2,1002,2,Mainline,APP,BlueOcean Textiles,MAT00088,2025-05-10,2025-08-11,2025-06-24,2025-06-27,Sea,41,2025-08-07,Internal_Delay,326,No
PO000141,4,1002,1,Outlet,RTW,BlueOcean Textiles,MAT00079,2025-05-22,2025-07-04,2025-05-25,2025-06-21,Sea,36,2025-07-27,Uncontrollable,1327,Yes
PO000142,3,2001,1,Mainline,APP,Delta Footwear,MAT00023,2025-05-25,2025-08-12,2025-07-03,2025-07-08,Air,7,2025-07-15,Internal_Delay,57,No
PO000143,4,2001,2,Mainline,HBG,Delta Footwear,MAT00047,2025-05-15,2025-07-31,2025-06-18,2025-07-10,Sea,50,2025-08-29,Material_Delay,436,Yes
PO000144,5,1003,2,Mainline,HBG,Crimson Stitch Co,MAT00092,2025-05-01,2025-06-07,2025-04-22,2025-04-22,Truck,11,2025-05-03,Transport_Disruption,309,No
PO000145,6,3001,2,Outlet,HBG,Falcon Garments,MAT00012,2025-05-11,2025-07-25,2025-06-11,2025-06-25,Sea,47,2025-08-11,Uncontrollable,1235,Yes
PO000146,4,2001,2,Mainline,ACC,Delta Footwear,MAT00069,2025-05-25,2025-06-26,2025-05-07,2025-05-14,Truck,11,2025-05-25,Factory_Delay,276,No
PO000147,5,2001,2,Outlet,SHO,Delta Footwear,MAT00006,2025-05-19,2025-08-16,2025-07-05,2025-07-14,Sea,36,2025-08-19,Material_Delay,1031,Yes
PO000148,3,2001,1,Mainline,RTW,Delta Footwear,MAT00028,2025-05-26,2025-08-25,2025-07-06,2025-07-20,Sea,43,2025-09-01,Factory_Delay,356,Yes
PO000149,7,1002,2,Mainline,HBG,BlueOcean Textiles,MAT00069,2025-05-11,2025-06-24,2025-05-15,2025-05-22,Sea,42,2025-07-03,Transport_Disruption,297,Yes
PO000150,4,3001,2,Mainline,ACC,Falcon Garments,MAT00004,2025-05-25,2025-08-09,2025-06-25,2025-06-30,Sea,43,2025-08-12,Material_Delay,998,Yes
